No.,Longitude,Latitude,TIME,Serving PCI,Serving RSRP,Serving DL EARFCN,PCC SINR,PDCP Throughput DL,PDCP Throughput UL,0st PCI in Detected Cells,1st PCI in Detected Cells,2st PCI in Detected Cells,3st PCI in Detected Cells,4st PCI in Detected Cells,5st PCI in Detected Cells,0st RSRP in Detected Cells,1st RSRP in Detected Cells,2st RSRP in Detected Cells,3st RSRP in Detected Cells,4st RSRP in Detected Cells,5st RSRP in Detected Cells,0st EARFCN in Detected Cells,1st EARFCN in Detected Cells,2st EARFCN in Detected Cells,3st EARFCN in Detected Cells,4st EARFCN in Detected Cells,5st EARFCN in Detected Cells
132,116.417656,39.8301469,2017-07-21 10:04:44.121,139,-91.562,37900,18.2,0.085,0.009,74,,,,,,-95,,,,,,37900,,,,,
133,116.417641,39.830151,2017-07-21 10:04:44.514,139,-91.562,37900,10,0.085,0.009,74,,,,,,-93.937,,,,,,37900,,,,,
134,116.417641,39.830151,2017-07-21 10:04:44.954,139,-92.687,37900,13.8,0,0,74,,,,,,-96.937,,,,,,37900,,,,,
135,116.417641,39.830154,2017-07-21 10:04:45.402,139,-93.375,37900,17.3,0,0,74,,,,,,-98,,,,,,37900,,,,,
136,116.417641,39.830154,2017-07-21 10:04:45.861,139,-93.812,37900,15.2,0,0,74,,,,,,-98.062,,,,,,37900,,,,,
137,116.417641,39.830154,2017-07-21 10:04:46.253,139,-93.75,37900,15.8,0,0,74,,,,,,-98.5,,,,,,37900,,,,,
138,116.417641,39.830154,2017-07-21 10:04:46.741,139,-93.437,37900,14.3,0,0,74,138,,,,,-94.375,-101.5,,,,,38098,38098,,,,
139,116.417641,39.830154,2017-07-21 10:04:47.121,139,-94.5,37900,17.3,0,0,74,,,,,,-99.187,,,,,,37900,,,,,
140,116.417641,39.830154,2017-07-21 10:04:47.581,139,-90.187,37900,19.8,0,0,74,,,,,,-97.687,,,,,,37900,,,,,
141,116.417641,39.830154,2017-07-21 10:04:48.002,139,-90.937,37900,21.5,0,0,74,,,,,,-100,,,,,,37900,,,,,
142,116.417641,39.830151,2017-07-21 10:04:48.415,139,-96.312,37900,10.4,0,0,74,,,,,,-98.437,,,,,,37900,,,,,
143,116.417641,39.830151,2017-07-21 10:04:48.913,139,-97.125,37900,5.6,0,0,74,,,,,,-98.375,,,,,,37900,,,,,
144,116.417641,39.830151,2017-07-21 10:04:49.321,139,-96.437,37900,9.3,0,0,182,141,,,,,-108.187,-109.125,,,,,40936,40936,,,,
145,116.417641,39.830151,2017-07-21 10:04:49.691,139,-100.625,37900,9.3,0.064,0,74,,,,,,-97.75,,,,,,37900,,,,,
146,116.417641,39.830151,2017-07-21 10:04:50.034,139,-94.937,37900,9.9,0.064,0,74,,,,,,-96.125,,,,,,37900,,,,,
147,116.417641,39.830151,2017-07-21 10:04:50.215,139,-100,37900,15.3,0.064,0.053,74,,,,,,-96.125,,,,,,37900,,,,,
148,116.417641,39.8301469,2017-07-21 10:04:50.675,139,-91.562,37900,16.6,0.064,0.053,74,,,,,,-104.375,,,,,,37900,,,,,
149,116.417641,39.8301469,2017-07-21 10:04:51.093,139,-91.625,37900,18.9,0.064,0.053,74,,,,,,-103.312,,,,,,37900,,,,,
150,116.417641,39.8301469,2017-07-21 10:04:51.111,139,-91.625,37900,18.9,0.203,0.02,74,,,,,,-103.75,,,,,,37900,,,,,
151,116.417656,39.830143,2017-07-21 10:04:51.518,139,-89.937,37900,16.7,0.203,0.02,74,,,,,,-102.375,,,,,,37900,,,,,
152,116.417656,39.830143,2017-07-21 10:04:51.947,139,-92.375,37900,16.8,0.203,0.02,74,,,,,,-103.25,,,,,,37900,,,,,
153,116.417656,39.830143,2017-07-21 10:04:52.144,139,-92.375,37900,17.9,0.203,0.02,74,,,,,,-99.125,,,,,,37900,,,,,
154,116.417679,39.830135,2017-07-21 10:04:52.374,139,-92.375,37900,17.9,0.203,0.02,74,,,,,,-99.125,,,,,,37900,,,,,
155,116.417679,39.830135,2017-07-21 10:04:52.781,139,-94.75,37900,14.3,0.203,0.02,74,,,,,,-99.812,,,,,,37900,,,,,
156,116.417679,39.830135,2017-07-21 10:04:53.191,139,-91.625,37900,11.7,0.004,0.003,74,,,,,,-101.875,,,,,,37900,,,,,
157,116.417679,39.830135,2017-07-21 10:04:53.600,139,-88.75,37900,17.8,0.004,0.003,,,,,,,,,,,,,,,,,,
158,116.417679,39.830135,2017-07-21 10:04:54.045,139,-87.562,37900,21.7,0.004,0.003,74,,,,,,-96.062,,,,,,37900,,,,,
159,116.417679,39.830128,2017-07-21 10:04:54.449,139,-92.437,37900,18.7,0.005,0.003,74,,,,,,-97.75,,,,,,37900,,,,,
160,116.417679,39.830128,2017-07-21 10:04:54.801,139,-92.187,37900,19.7,0.005,0.003,74,,,,,,-96.875,,,,,,37900,,,,,
161,116.417679,39.830128,2017-07-21 10:04:55.162,139,-89.437,37900,16.7,0.264,0.009,74,,,,,,-95.062,,,,,,37900,,,,,
162,116.417679,39.830128,2017-07-21 10:04:55.534,139,-87.5,37900,19.3,0.264,0.009,74,,,,,,-94.5,,,,,,37900,,,,,
163,116.417679,39.830128,2017-07-21 10:04:55.558,139,-87.5,37900,19.3,0.264,0.009,74,,,,,,-95.437,,,,,,37900,,,,,
164,116.417679,39.830128,2017-07-21 10:04:55.949,139,-89.75,37900,20.9,0.264,0.009,182,141,142,,,,-103.312,-111,-122.812,,,,40936,40936,40936,,,
165,116.417679,39.830128,2017-07-21 10:04:56.394,139,-92.562,37900,19,0.264,0.009,74,,,,,,-94.312,,,,,,37900,,,,,
166,116.417679,39.830128,2017-07-21 10:04:56.604,139,-89.5,37900,20.8,0.467,0.009,74,,,,,,-93.437,,,,,,37900,,,,,
